feature,familia,descricao_linguagem_negocio,disponibilidade_temporal,regra_de_construcao,existia_originalmente_na_eda,foi_reconstruida_devido_a_leakage,entra_na_modelagem_final
wind_speed_10m_max_prev_7d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
wind_gusts_10m_max_prev_7d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
op_abastecimento_bunker,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_arribada,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_carga,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_descarga,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_desembarque_passageiros,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_embarque_passageiros,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_fundeio,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_fundeio_ship_to_ship,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_navio_estado_com_operacao_comercial,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_navio_estado_marinha_brasil,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_navio_estado_sem_operacao_comercial,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_offshore,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_reparo_manutencao,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_retirada_residuos_com_operacao_comercial,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_retirada_residuos_sem_operacao_comercial,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_solicitacao_certificado,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
op_tipo_operacao_nao_mapeado,OPERACIONAL_DA_ESCALA,Representa o tipo declarado de operacao da escala.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
arrivals_prev_1d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
arrivals_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
arrivals_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
arrivals_avg_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
arrivals_max_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
arrivals_avg_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
arrivals_max_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_prev_1d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_avg_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_max_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_avg_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
departures_max_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
flow_balance_prev_1d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
flow_balance_prev_3d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
flow_balance_prev_7d,FLUXO_PORTUARIO_HISTORICO,Mede volume recente de entradas e saidas no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_wait_known_count,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_wait_known_mean,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_wait_known_median,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_wait_known_std,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_wait_known_q90,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_wait_known_q95,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_operation_known_count,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_operation_known_mean,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_operation_known_median,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_operation_known_std,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_operation_known_q90,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_operation_known_q95,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_total_known_count,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_total_known_mean,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_total_known_median,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_total_known_std,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_total_known_q90,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
port_total_known_q95,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,Resume desempenho portuario de escalas ja conhecidas.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
state_waiting_vessels_d_minus_1,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,"Estima fila, atracacao e presenca acumulada no porto ate D-1.",Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
state_berthed_vessels_d_minus_1,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,"Estima fila, atracacao e presenca acumulada no porto ate D-1.",Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
state_present_vessels_d_minus_1,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,"Estima fila, atracacao e presenca acumulada no porto ate D-1.",Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
state_backlog_vessels_d_minus_1,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,"Estima fila, atracacao e presenca acumulada no porto ate D-1.",Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
state_entry_exit_delta_prev_1d,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,"Estima fila, atracacao e presenca acumulada no porto ate D-1.",Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_total_known_count,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_total_known_mean,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_total_known_median,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_total_known_q90,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_wait_known_count,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_wait_known_mean,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_wait_known_median,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_wait_known_q90,HISTORICO_DA_EMBARCACAO,Resume historico conhecido da embarcacao.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_port_total_known_count,HISTORICO_EMBARCACAO_PORTO,Resume memoria operacional da embarcacao naquele porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_port_total_known_mean,HISTORICO_EMBARCACAO_PORTO,Resume memoria operacional da embarcacao naquele porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_port_total_known_median,HISTORICO_EMBARCACAO_PORTO,Resume memoria operacional da embarcacao naquele porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
vessel_port_total_known_q90,HISTORICO_EMBARCACAO_PORTO,Resume memoria operacional da embarcacao naquele porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
source_total_known_count,HISTORICO_DE_ORIGEM,Resume historico conhecido associado ao porto de origem.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
source_total_known_mean,HISTORICO_DE_ORIGEM,Resume historico conhecido associado ao porto de origem.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
source_total_known_median,HISTORICO_DE_ORIGEM,Resume historico conhecido associado ao porto de origem.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
source_total_known_q90,HISTORICO_DE_ORIGEM,Resume historico conhecido associado ao porto de origem.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
destination_total_known_count,HISTORICO_DE_DESTINO,Resume historico conhecido associado ao destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
destination_total_known_mean,HISTORICO_DE_DESTINO,Resume historico conhecido associado ao destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
destination_total_known_median,HISTORICO_DE_DESTINO,Resume historico conhecido associado ao destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
destination_total_known_q90,HISTORICO_DE_DESTINO,Resume historico conhecido associado ao destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
route_total_known_count,HISTORICO_DE_ROTA,Resume historico conhecido da rota origem-destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
route_total_known_mean,HISTORICO_DE_ROTA,Resume historico conhecido da rota origem-destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
route_total_known_median,HISTORICO_DE_ROTA,Resume historico conhecido da rota origem-destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
route_total_known_q90,HISTORICO_DE_ROTA,Resume historico conhecido da rota origem-destino.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_carga_share_prev_3d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_descarga_share_prev_3d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_fundeio_share_prev_3d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_offshore_share_prev_3d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_reparo_manutencao_share_prev_3d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_carga_share_prev_7d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_descarga_share_prev_7d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
opmix_fundeio_share_prev_7d,MIX_OPERACIONAL_RECENTE,Resume composicao recente das operacoes no porto.,Conhecida ate 23:59:59 de D-1 por reconstrucao historica.,Construida com calendario porto-dia completo e/ou eventos conhecidos antes do cutoff.,False,True,True
